TITLE	FittingExample
DATA	TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/07
TIME	13:08:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	190.0000
NPOINTS	711
FIRSTY	0.08027
MAXY	3.79174
MINY	0.05499
XYDATA
241.0000	2.57938
240.0000	2.59096
239.0000	2.60149
238.0000	2.60918
237.0000	2.61768
236.0000	2.62606
235.0000	2.63168
234.0000	2.63951
233.0000	2.6514
232.0000	2.67026
231.0000	2.7019
230.0000	2.75025
229.0000	2.81346
228.0000	2.89046
227.0000	2.97859
226.0000	3.078
225.0000	3.18468
224.0000	3.30706
223.0000	3.4266
222.0000	3.54969
221.0000	3.66412
220.0000	3.74324
219.0000	3.77801
218.0000	3.78839
217.0000	3.77605
216.0000	3.75199
215.0000	3.73051
214.0000	3.69946
213.0000	3.66457
212.0000	3.62985
211.0000	3.58963
210.0000	3.54002
209.0000	3.48283
208.0000	3.42318
207.0000	3.3562
206.0000	3.27506
205.0000	3.18142
204.0000	3.05389
203.0000	2.91217
202.0000	2.74655
201.0000	2.5337
200.0000	2.28669
199.0000	1.98283
198.0000	1.66114
197.0000	1.38428
196.0000	1.19985
195.0000	1.10796
194.0000	1.06916
193.0000	1.05592
192.0000	1.03927
191.0000	1.02221
190.0000	1.01184
